"City","FAA","IATA","ICAO","Airport","Role","Enplanements"
"Worcester","ORH","ORH","KORH","Worcester Regional Airport","P-N [nb 10]",35833
"Charlevoix","CVX",,"KCVX","Charlevoix Municipal Airport","P-N",14966
"Detroit / Romulus","DTW","DTW","KDTW","Detroit Metropolitan Wayne County Airport","P-L",15643890
"Flint","FNT","FNT","KFNT","Bishop International Airport","P-S",497649
"Grand Rapids","GRR","GRR","KGRR","Gerald R. Ford International Airport","P-S",1089002
"Hancock / Calumet","CMX","CMX","KCMX","Houghton County Memorial Airport","P-N",21186
"Kalamazoo / Battle Creek","AZO","AZO","KAZO","Kalamazoo/Battle Creek International Airport","P-N",135555
"Lansing","LAN","LAN","KLAN","Capital Region International Airport (was Lansing Capital City)","P-N",136548
"Marquette / Gwinn","SAW","MQT","KSAW","Sawyer International Airport","P-N",57371
"Muskegon","MKG","MKG","KMKG","Muskegon County Airport","P-N",13088
"Pellston","PLN","PLN","KPLN","Pellston Regional Airport of Emmet County","P-N",23324
"Saginaw","MBS","MBS","KMBS","MBS International Airport","P-N",146870
"Sault Ste. Marie","CIU","CIU","KCIU","Chippewa County International Airport","P-N",14349
"Traverse City","TVC","TVC","KTVC","Cherry Capital Airport","P-N",167488
"Bemidji","BJI","BJI","KBJI","Bemidji Regional Airport","P-N",22007
"Brainerd","BRD","BRD","KBRD","Brainerd Lakes Regional Airport","P-N",16665
"Duluth","DLH","DLH","KDLH","Duluth International Airport","P-N",147793
"International Falls","INL","INL","KINL","Falls International Airport","P-N",16590
"Minneapolis","MSP","MSP","KMSP","Minneapolis-St. Paul International Airport (Wold-Chamberlain Field)","P-L",16369324
"Rochester","RST","RST","KRST","Rochester International Airport","P-N",151250
"St. Cloud","STC","STC","KSTC","St. Cloud Regional Airport","P-N",20161
"Columbus / West Point / Starkville","GTR","GTR","KGTR","Golden Triangle Regional Airport","P-N",36329
"Gulfport / Biloxi","GPT","GPT","KGPT","Gulfport-Biloxi International Airport","P-S",461072
"Hattiesburg / Laurel","PIB","PIB","KPIB","Hattiesburg-Laurel Regional Airport","P-N",13766
"Jackson","JAN","JAN","KJAN","Jackson-Evers International Airport","P-S",618373
"Meridian","MEI","MEI","KMEI","Meridian Regional Airport (Key Field)","P-N",16871
"Tupelo","TUP","TUP","KTUP","Tupelo Regional Airport (C.D. Lemons Field)","P-N",12749
"Branson","BBG","BKG","KBBG","Branson Airport (opened May 2009)","P-N [nb 11]",91568
"Columbia","COU","COU","KCOU","Columbia Regional Airport","P-N",38293
"Kansas City","MCI","MCI","KMCI","Kansas City International Airport","P-M",4946173
"Springfield","SGF","SGF","KSGF","Springfield-Branson National Airport","P-S",381172
"St. Louis","STL","STL","KSTL","Lambert-St. Louis International Airport","P-M",6044760
"Billings","BIL","BIL","KBIL","Billings Logan International Airport","P-S",422494
"Bozeman","BZN","BZN","KBZN","Bozeman Yellowstone International Airport (was Gallatin Field Airport)","P-N",349550
"Butte","BTM","BTM","KBTM","Bert Mooney Airport","P-N",30431
"Great Falls","GTF","GTF","KGTF","Great Falls International Airport","P-N",143811
"Helena","HLN","HLN","KHLN","Helena Regional Airport","P-N",85649
"Kalispell","GPI","FCA","KGPI","Glacier Park International Airport","P-N",186450
"Missoula","MSO","MSO","KMSO","Missoula International Airport","P-N",288071
"Grand Island","GRI","GRI","KGRI","Central Nebraska Regional Airport","P-N [nb 12]",37101
"Lincoln","LNK","LNK","KLNK","Lincoln Airport (was Lincoln Municipal)","P-N",143230
"Omaha","OMA","OMA","KOMA","Eppley Airfield","P-M",2097958
"Boulder City","BVU","BLD","KBVU","Boulder City Municipal Airport","P-N",169923
"Elko","EKO","EKO","KEKO","Elko Regional Airport (J.C. Harris Field)","P-N",21863
"Las Vegas","LAS","LAS","KLAS","McCarran International Airport","P-L",18996738
"Las Vegas / North Las Vegas","VGT","VGT","KVGT","North Las Vegas Airport","P-N",64674
"Reno","RNO","RNO","KRNO","Reno/Tahoe International Airport","P-M",1857488
"Manchester","MHT","MHT","KMHT","Manchester-Boston Regional Airport","P-M",1834875
"Portsmouth","PSM","PSM","KPSM","Portsmouth International Airport at Pease","P-N",49962
"Atlantic City","ACY","ACY","KACY","Atlantic City International Airport","P-S",669470
"Newark","EWR","EWR","KEWR","Newark Liberty International Airport","P-L",16571754
"Albuquerque","ABQ","ABQ","KABQ","Albuquerque International Sunport","P-M",2828420
"Farmington","FMN","FMN","KFMN","Four Corners Regional Airport","P-N",13389
"Roswell","ROW","ROW","KROW","Roswell International Air Center","P-N",38850
"Santa Fe","SAF","SAF","KSAF","Santa Fe Municipal Airport (scheduled passenger service resumed 2009)","P-N [nb 13]",43807
"Albany","ALB","ALB","KALB","Albany International Airport","P-S",1250282
"Binghamton","BGM","BGM","KBGM","Greater Binghamton Airport (Edwin A. Link Field)","P-N",108988
"Buffalo","BUF","BUF","KBUF","Buffalo Niagara International Airport","P-M",2602968
"Elmira / Corning","ELM","ELM","KELM","Elmira/Corning Regional Airport","P-N",131358
"Islip","ISP","ISP","KISP","Long Island MacArthur Airport","P-S",858741
"Ithaca","ITH","ITH","KITH","Ithaca Tompkins Regional Airport","P-N",121390
"New York","JFK","JFK","KJFK","John F. Kennedy International Airport","P-L",22934047
"New York","LGA","LGA","KLGA","LaGuardia Airport (and Marine Air Terminal)","P-L",12001501
"Newburgh","SWF","SWF","KSWF","Stewart International Airport","P-S",201684
"Plattsburgh","PBG","PBG","KPBG","Plattsburgh International Airport","P-N",94808
"Rochester","ROC","ROC","KROC","Greater Rochester International Airport","P-S",1263965
"Syracuse","SYR","SYR","KSYR","Syracuse Hancock International Airport","P-S",1024505
"White Plains","HPN","HPN","KHPN","Westchester County Airport","P-S",999831
"Asheville","AVL","AVL","KAVL","Asheville Regional Airport","P-N",682306
"Charlotte","CLT","CLT","KCLT","Charlotte/Douglas International Airport","P-L",18281425
"Fayetteville","FAY","FAY","KFAY","Fayetteville Regional Airport (Grannis Field)","P-N",202597
"Greensboro","GSO","GSO","KGSO","Piedmont Triad International Airport","P-S",863745
"Greenville","PGV","PGV","KPGV","Pitt-Greenville Airport","P-N",52287
"Jacksonville","OAJ","OAJ","KOAJ","Albert J. Ellis Airport","P-N",126947
"New Bern","EWN","EWN","KEWN","Coastal Carolina Regional Airport (was Craven County Regional)","P-N",111184
"Raleigh","RDU","RDU","KRDU","Raleigh-Durham International Airport","P-M",4868492
"Wilmington","ILM","ILM","KILM","Wilmington International Airport","P-N",469993
"Bismarck","BIS","BIS","KBIS","Bismarck Municipal Airport","P-N",178005
"Fargo","FAR","FAR","KFAR","Hector International Airport","P-N",326941
"Grand Forks","GFK","GFK","KGFK","Grand Forks International Airport","P-N",88093
"Minot","MOT","MOT","KMOT","Minot International Airport","P-N",71595
"Williston","ISN","ISN","KISN","Sloulin Field International Airport","P-N [nb 14]",12163
"Akron","CAK","CAK","KCAK","Akron-Canton Regional Airport","P-S",715367
"Cleveland","CLE","CLE","KCLE","Cleveland-Hopkins International Airport","P-M",4704329
"Columbus","CMH","CMH","KCMH","Port Columbus International Airport","P-M",3096515
"Dayton","DAY","DAY","KDAY","James M. Cox Dayton International Airport","P-S",1240848
"Toledo","TOL","TOL","KTOL","Toledo Express Airport","P-N",93669
"Youngstown / Warren","YNG","YNG","KYNG","Youngstown-Warren Regional Airport / Youngstown ARS","P-N",17391
"Lawton","LAW","LAW","KLAW","Lawton–Fort Sill Regional Airport","P-N",77533
"Oklahoma City","OKC","OKC","KOKC","Will Rogers World Airport","P-S",1838709
"Tulsa","TUL","TUL","KTUL","Tulsa International Airport","P-S",1606622
"Eugene","EUG","EUG","KEUG","Eugene Airport (Mahlon Sweet Field)","P-N",369397
"Klamath Falls","LMT","LMT","KLMT","Klamath Falls Airport (Kingsley Field)","P-N",21353
"Medford","MFR","MFR","KMFR","Rogue Valley International-Medford Airport","P-N",310824
"North Bend","OTH","OTH","KOTH","Southwest Oregon Regional Airport (was North Bend Municipal)","P-N",23124
"Portland","PDX","PDX","KPDX","Portland International Airport","P-M",6582227
"Redmond","RDM","RDM","KRDM","Redmond Municipal Airport (Roberts Field)","P-N",226400
"Allentown","ABE","ABE","KABE","Lehigh Valley International Airport","P-S",414427
"Erie","ERI","ERI","KERI","Erie International Airport (Tom Ridge Field)","P-N",127184
"Harrisburg / Middletown","MDT","MDT","KMDT","Harrisburg International Airport","P-S",664968
"Philadelphia","PHL","PHL","KPHL","Philadelphia International Airport","P-L",14951254
"Pittsburgh","PIT","PIT","KPIT","Pittsburgh International Airport","P-M",3996656
"State College","UNV","SCE","KUNV","University Park Airport","P-N",143531
"Wilkes-Barre / Scranton","AVP","AVP","KAVP","Wilkes-Barre/Scranton International Airport","P-N",213422
"Williamsport","IPT","IPT","KIPT","Williamsport Regional Airport","P-N",22519
"Providence / Warwick","PVD","PVD","KPVD","Theodore Francis Green State Airport","P-M",2342593
"Charleston","CHS","CHS","KCHS","Charleston International Airport / Charleston AFB","P-S",2520829
"Columbia","CAE","CAE","KCAE","Columbia Metropolitan Airport","P-S",565938
"Florence","FLO","FLO","KFLO","Florence Regional Airport","P-N",64835
"Greer","GSP","GSP","KGSP","Greenville-Spartanburg International Airport (Roger Milliken Field)","P-S",699805
"Hilton Head Island","HXD","HHH","KHXD","Hilton Head Airport","P-N",79912
"Myrtle Beach","MYR","MYR","KMYR","Myrtle Beach International Airport","P-S",705430
"Aberdeen","ABR","ABR","KABR","Aberdeen Regional Airport","P-N",23225
"Pierre","PIR","PIR","KPIR","Pierre Regional Airport","P-N",15983
"Rapid City","RAP","RAP","KRAP","Rapid City Regional Airport","P-N",273151
"Sioux Falls","FSD","FSD","KFSD","Sioux Falls Regional Airport (Joe Foss Field)","P-S",367874
"Bristol / Johnson City / Kingsport","TRI","TRI","KTRI","Tri-Cities Regional Airport (Tri-Cities Regional TN/VA)","P-N",202730
"Chattanooga","CHA","CHA","KCHA","Chattanooga Metropolitan Airport (Lovell Field)","P-N",300796
"Knoxville","TYS","TYS","KTYS","McGhee Tyson Airport","P-S",839266
"Memphis","MEM","MEM","KMEM","Memphis International Airport","P-M",5376818
"Nashville","BNA","BNA","KBNA","Nashville International Airport (Berry Field)","P-M",4648000
"Abilene","ABI","ABI","KABI","Abilene Regional Airport","P-N",73605
"Amarillo","AMA","AMA","KAMA","Rick Husband Amarillo International Airport","P-S",394593
"Austin","AUS","AUS","KAUS","Austin-Bergstrom International Airport","P-M",4489297
"Beaumont / Port Arthur","BPT","BPT","KBPT","Southeast Texas Regional Airport","P-N",17394
"Brownsville","BRO","BRO","KBRO","Brownsville/South Padre Island International Airport","P-N",84401
"College Station","CLL","CLL","KCLL","Easterwood Airport (Easterwood Field)","P-N",72188
"Corpus Christi / Kingsville","CRP","CRP","KCRP","Corpus Christi International Airport","P-N",339193
"Dallas","DAL","DAL","KDAL","Dallas Love Field","P-M",3783407
